,NIC5digitId,BENGALURU (RURAL),Activity
328,20212,15,Manufacture of disinfectants (for agricultural and other use)
329,20213,6,"Manufacture of anti-sprouting products, plant growth regulators"
330,20219,15,Manufacture of other agrochemical products n.e.c.
331,20221,107,"Manufacture of paints and varnishes, enamels or lacquers"
332,20222,11,"Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes engobes and similar preparations of a kind used in the ceramic, enamelling or glass industry"
333,20223,18,Manufacture of printing ink
334,20224,16,Manufacture of prepared pigments and other colouring matter of a kind used in the manufacture of paints or by artists or other painters
335,20229,18,"Manufacture of caulking compounds and similar non-refractory filling or surfacing preparations, mastics, prepared paint or varnish removers, organic composite solvents and thinners and other related products n.e.c."
336,20231,153,Manufacture of soap all forms
337,20232,94,"Manufacture of cleaning and polishing products (preparations for perfuming or deodorizing rooms; artificial waxes and prepared waxes; polishes and creams for leather, wood, glass, metal etc.; scouring pastes and powders, including paper, wadding etc. coated or covered with these)"
338,20233,89,Manufacture of detergent and similar washing agents excluding soap
339,20234,19,Manufacture of perfumes and cologne de-eau
340,20235,11,"Manufacture of preparations for oral or dental hygiene (includes manufacture of toothpastes, toothpowder, mouthwash, oral, perfumes, dental fixative pastes and powders etc.)"
341,20236,100,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or straightening of the hair etc.)"
342,20237,176,"Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti- respirants; perfumed bath salts and other bath preparations; beauty or make-up preparations and preparations for the care of the skin, other than medicaments; manicure and pedicure preparations etc.)"
343,20238,45,Manufacture of “agarbatti” and other preparations which operate by burning
344,20239,74,Manufacture of other perfumes and toilet preparations n.e.c.
345,20291,2,Manufacture of matches
346,20292,6,"Manufacture of explosives, ammunition and fire works"
347,20293,19,"Manufacture of essential oils; modification by chemical processes of oils and fats (e.g. by oxidation, polymerization etc.)"
348,20294,13,"Manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials,chemical preparations for photographic uses"
349,20295,20,"Manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives"
350,20296,6,Manufacture of chemical elements and compounds doped for use in electronics
351,20297,33,"Manufacture of chemical products or preparations of a kind used in the textiles, paper, leather and like industries"
352,20299,93,"Manufacture of various other chemical products n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)"
353,20301,0,Manufacture of synthetic or artificial filament tow
354,20302,1,Manufacture of synthetic or artificial filament staple fibre not textured
355,20303,3,"Manufacture of synthetic or artificial filament yarn, tenacity yarn whether or not textured including high tenacity yarn"
356,20304,3,Manufacture of synthetic or artificial mono-filament or strip
357,21001,163,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alkaloids; chemically pure suger etc."
358,21002,76,Manufacture of allopathic pharmaceutical preparations
359,21003,104,Manufacture of `ayurvedic’ or `unani’ pharmaceutical preparation
360,21004,10,Manufacture of homoeopathic or biochemic pharmaceutical preparations
361,21005,10,Manufacture of veterinary preparations
362,21006,59,"Manufacture of medical impregnated wadding, gauze, bandages, dressings, surgical gut string etc."
363,21009,123,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.
364,22111,35,"Manufacture of rubber tyres and tubes for motor vehicles, motorcycles, scooters, three-wheelers, tractors and aircraft"
365,22112,6,Manufacture of rubber tyres and tubes for cycles and cycle-rickshaws
366,22113,29,Retreading of tyres; replacing or rebuilding of tread on used pneumatic tyres
367,22119,17,Manufacture of rubber tyres and tubes n.e.c.
368,22191,85,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc."
369,22192,20,Manufacture of rubber conveyor or transmission belts or belting
370,22193,0,Manufacture of rubber contraceptives
371,22194,1,Manufacture of rubber balloons
372,22199,124,Manufacture of other rubber products n.e.c.
373,22201,72,"Manufacture of semi-finished of plastic proudcts (plastic plates, sheets,blocks,film,foil,strip etc.)"
374,22202,64,"Manufacture of tableware,kitchenware and other houshold articles and toilet articles of plastic, including manufacture of vacuum flasks and other vacuum vessels"
375,22203,188,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc)"
376,22204,9,"Manufacture of bathing tubs, wash-basins, lavatory pans and covers,flushing cisterns and similar sanitary-ware of plastics"
377,22205,15,"Manufacture of travel goods of plasitcs (suitcase, vanity bags, hoddalls and similar articles)"
378,22206,15,Manufacture of spectacle frames of plastic
379,22207,140,Manufacture of moulded industrial accessories of plastics [including electrical insulating fitting of plastics]
380,22208,47,Manufacture of ploymer/ synthetic / PVC water storage tanks
381,22209,416,Manufacture of other plastics products n.e.c
382,23101,22,"Manufacture of glass in primary or semi-manufactured forms (such as sheets & plate glass) including mirror sheets and wired, coloured, tinted, toughened or laminated glass"
383,23102,11,"Manufacture of glass fibre (including glass-wool) and yarn of glass fibre; nonwoven glass fabrics, mats, boards and similar non-woven products"
384,23103,6,"Manufacture of hollow glassware (bottles, jars etc.) for the conveyance or packing of goods"
385,23104,7,Manufacture of laboratory or pharmaceutical glassware
386,23105,10,Manufacture of table or kitchen glassware
387,23106,7,Manufacture of glass bangles
388,23107,3,Manufacture of glass decoration pieces and glassware used in imitation jewellery
389,23109,32,"Manufacture of other glassware/ glass proudcts: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and other glass products (including glass beads) n.e.c"
390,23911,11,"manufacture of non-metallic mineral products n.e.c. manufacture of refractory products Manufacture of refractory mortars, concretes etc."
391,23912,40,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods"
392,23913,6,Manufacture of refractory ceramic products
393,23919,2,Manufacture of other refractory articles n.e.c.
394,23921,48,Manufacture of bricks
395,23922,5,"Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water- closet pans, flushing cistern etc."
396,23923,9,"Manufacture of non-refractory ceramic pipes, conduits, guttering and pipe fittings"
397,23929,22,Manufacture of other clay building materials
398,23931,2,"Manufacture of articles of porcelain or china, earthenware, imitation porcelain or common pottery, including earthen statues"
399,23932,8,Manufacture of ceramic tableware and other domestic or toilet articles
400,23933,4,Manufacture of statuettes and other ornamental ceramic articles
401,23934,24,Manufacture of electrical insulators and insulating fittings of ceramics
402,23935,5,"Manufacture of ceramic laboratory, chemical and industrial products"
403,23939,11,Manufacture of ceramic products n.e.c.
404,23941,5,Manufacture of clinkers and cement
405,23942,14,"Manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement"
406,23943,5,Manufacture of asbestos cement
407,23944,2,"Manufacture of quicklime, slaked lime and hydraulic lime (excluding chewing lime)"
408,23945,5,Manufacture of plasters of calcined gypsum or calcined sulphate
409,23949,15,Manufacture of other cement and plaster n.e.c.
410,23951,3,Manufacture of plaster statues and other plaster products
411,23952,65,"Manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.)"
412,23953,1,Manufacture of asbestos sheets
413,23954,34,Manufacture of R.C.C. bricks and blocks
414,23955,49,Manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering
415,23956,3,"Manufacture of insulation boards of vegetable fibre, straw or wood waste, agglomerated with cement & other mineral binders."
416,23959,18,Manufacture of other cement and asbestos cement products n.e.c.
417,23960,33,"Cutting, shaping and finishing of stone"
418,23991,2,Manufacture of worked mica and mica products
419,23992,4,Manufacture of gypsum boards
420,23993,13,"Manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material"
421,23994,7,Manufacture of graphite products other than electrical articles
